z:\ttzc0200 ohjelmoinnin perusteet\harj11\x64\debug\vc141.pdb
z:\ttzc0200 ohjelmoinnin perusteet\harj11\x64\debug\vc141.idb
z:\ttzc0200 ohjelmoinnin perusteet\harj11\x64\debug\harj11.obj
z:\ttzc0200 ohjelmoinnin perusteet\x64\debug\harj11.ilk
z:\ttzc0200 ohjelmoinnin perusteet\x64\debug\harj11.exe
z:\ttzc0200 ohjelmoinnin perusteet\x64\debug\harj11.pdb
c:\temp\ttzc0200 ohjelmoinnin perusteet 20171005\harj11\x64\debug\harj11.obj
c:\temp\ttzc0200 ohjelmoinnin perusteet 20171005\harj11\x64\debug\harj11a.obj
c:\temp\ttzc0200 ohjelmoinnin perusteet 20171005\harj11\x64\debug\vc141.idb
c:\temp\ttzc0200 ohjelmoinnin perusteet 20171005\harj11\x64\debug\vc141.pdb
c:\temp\ttzc0200 ohjelmoinnin perusteet 20171005\x64\debug\harj11.pdb
c:\temp\ttzc0200 ohjelmoinnin perusteet 20171005\x64\debug\harj11.exe
c:\temp\ttzc0200 ohjelmoinnin perusteet 20171005\x64\debug\harj11.ilk
c:\temp\ttzc0200 ohjelmoinnin perusteet 20171005\harj11\x64\debug\harj11.tlog\cl.command.1.tlog
c:\temp\ttzc0200 ohjelmoinnin perusteet 20171005\harj11\x64\debug\harj11.tlog\cl.read.1.tlog
c:\temp\ttzc0200 ohjelmoinnin perusteet 20171005\harj11\x64\debug\harj11.tlog\cl.write.1.tlog
c:\temp\ttzc0200 ohjelmoinnin perusteet 20171005\harj11\x64\debug\harj11.tlog\link.command.1.tlog
c:\temp\ttzc0200 ohjelmoinnin perusteet 20171005\harj11\x64\debug\harj11.tlog\link.read.1.tlog
c:\temp\ttzc0200 ohjelmoinnin perusteet 20171005\harj11\x64\debug\harj11.tlog\link.write.1.tlog
